,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,keywords
0,300757,GTZ,small_airport,Kirawira B Aerodrome,-2.160833,34.225556,3970.0,TZ-13,Grumeti Game Reserve,HTGR,GTZ,Serengeti National Park
1,308201,HTAG,small_airport,Amani Beach Airport,-6.957292,39.505588,114.0,TZ-02,Somangira,HTAG,,Amani Gomvu
2,3250,HTAR,medium_airport,Arusha Airport,-3.3677899837493896,36.63330078125,4550.0,TZ-01,Arusha,HTAR,ARK,
3,308202,HTBB,small_airport,Kibambawe Airstrip,-7.748241,38.001833,485.0,TZ-19,Selous Game Reserve,HTBB,,
4,308203,HTBS,small_airport,Mbesa Airport,-11.331675,37.067816,1980.0,TZ-21,Mbesa Mission,HTBS,,
5,30767,HTBU,small_airport,Bukoba Airport,-1.332,31.8212,3784.0,TZ-05,Bukoba,HTBU,BKZ,
6,31637,HTCH,small_airport,Chunya Airport,-8.558318,33.436368,5000.0,TZ-14,Chunya,HTCH,,
7,3251,HTDA,large_airport,Julius Nyerere International Airport,-6.87811,39.202599,182.0,TZ-02,Dar es Salaam,HTDA,DAR,"HTJN, Mwalimu Julius K. Nyerere, Dar es Salaam International Airport"
8,3252,HTDO,medium_airport,Dodoma Airport,-6.17044,35.752602,3673.0,TZ-03,Dodoma,HTDO,DOD,
9,318927,HTEN,small_airport,Endulen Airport,-3.194243,35.26315,5442.0,TZ-01,Endulen,HTEN,,
10,525022,HTGE,small_airport,Chato/Geita Airport,-2.74233,31.70683,3898.0,TZ-31,Chato District,HTGE,GTC,
11,318875,HTGW,medium_airport,Songwe Airport,-8.919942,33.273981,4412.0,TZ-14,Mbeya,HTGW,MBI,
12,3253,HTIR,medium_airport,Iringa Airport,-7.66863,35.752102,4678.0,TZ-04,Nduli,HTIR,IRI,
13,42476,HTIY,small_airport,Inyonga Airport,-6.719232,32.062657,3790.0,TZ-20,Inyonga,HTIY,,
14,32454,HTKA,small_airport,Kigoma Airport,-4.8862,29.6709,2700.0,TZ-08,Kigoma,HTKA,TKQ,
15,42477,HTKB,small_airport,Kibondo Airport,-3.525979995727539,30.650400161743164,4262.0,TZ-08,Kibondo,HTKB,,
16,42478,HTKD,small_airport,Kondoa Airport,-4.893710136413574,35.7682991027832,4578.0,TZ-03,Kondoa,HTKD,,
17,31754,HTKI,small_airport,Kilwa Airport,-8.91123,39.508619,50.0,TZ-12,Kilwa Masoko,HTKI,KIY,
18,3254,HTKJ,medium_airport,Kilimanjaro International Airport,-3.42941,37.074501,2932.0,TZ-01,Arusha,HTKJ,JRO,
19,42479,HTKL,small_airport,Kirondatal Airport,-4.312575,34.346453,5033.0,TZ-23,Kirondatal,HTKL,,
20,31638,HTKO,small_airport,Kongwa Airport,-6.150000095367432,36.41699981689453,3300.0,TZ-03,Kongwa,HTKO,,
21,42480,HTKS,small_airport,Kilosa Airport,-6.864605,37.00845,1567.0,TZ-16,Kilosa,HTKS,,
22,31639,HTKT,small_airport,Kilimatinde Airport,-5.831378,34.966387,3300.0,TZ-23,Kilimatinde,HTKT,,
23,42481,HTLD,small_airport,Loliondo Airport,-2.06969,35.5457,6620.0,TZ-01,Loliondo,HTLD,,
24,31801,HTLI,small_airport,Lindi Airport,-9.851005,39.75911,100.0,TZ-12,Lindi,HTLI,LDI,Kikwetu Airport
25,42482,HTLL,small_airport,Liuli Airport,-11.116399765014648,34.652198791503906,1667.0,TZ-21,Liuli,HTLL,,
26,3255,HTLM,medium_airport,Lake Manyara Airport,-3.37631,35.818298,4150.0,TZ-26,Lake Manyara National Park,HTLM,LKY,
27,31893,HTMA,small_airport,Mafia Airport,-7.917478,39.668502,60.0,TZ-19,Kilindoni,HTMA,MFA,
28,31881,HTMB,small_airport,Mbeya Airport,-8.919444,33.463889,5600.0,TZ-14,Mbeya,HTMB,,
29,31979,HTMD,small_airport,Mwadui Airport,-3.521332,33.615542,3970.0,TZ-22,Mwadui,HTMD,MWN,
30,42483,HTMF,small_airport,Mufindi Airport,-8.732040405273438,35.3026008605957,4175.0,TZ-04,Mufindi,HTMF,,
31,31640,HTMG,small_airport,Morogoro Airport,-6.79722,37.653099,1676.0,TZ-16,Morogoro,HTMG,,
32,32707,HTMI,small_airport,Masasi Airport,-10.733,38.766998,1700.0,TZ-17,Masasi,HTMI,XMI,
33,42484,HTMK,small_airport,Mikumi Airport,-7.333427906036377,37.11635971069336,1737.0,TZ-16,Mikumi,HTMK,,
34,42485,HTML,small_airport,Mahale Airstrip,-6.012913,29.766937,2561.0,TZ-08,Mahale,HTML,,
